case,quarter,R.mth,age,country,1st time visitor,nbr visit past 3 yrs,mode of arrival,carrier,purpose of visit,purpose of visit_Grp,pov6a,Mono-SIN,Last Port,Next Port,length of stay,Travel Type,gender,marital status,companion_1,companion_2,companion_3,companion_4,companion_5,companion_6,accomodation ($),shop ($),fnb ($),transport ($),medical ($),others ($),Total
"4,408",1,3,15-19 yrs,Indonesia,No,1,Air,Garuda Indonesia (GIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Female,single,Friends,,,,,,332.09,423.22,65.23,29.65,0.00,0.00,850.19
"4,434",1,3,60-64 yrs,Indonesia,No,2,Air,AirAsia Berhad (AXM),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,5.00,FIT,Male,married,Alone,,,,,,0.00,256.55,106.74,53.37,"1,000.00",0.00,"1,416.67"
"4,453",1,3,25-29 yrs,Indonesia,No,1,Air,Singapore Airlines Limited (SIA),General business purpose,Business,Business,Mono-SIN,No,No,2.00,FIT,Male,married,Alone,,,,,,510.89,356.55,142.32,0.00,0.00,0.00,"1,009.77"
"4,454",1,3,60-64 yrs,Indonesia,No,4,Air,Singapore Airlines Limited (SIA),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,1.00,FIT,Male,married,Alone,,,,,,383.27,156.55,177.91,71.16,400.00,0.00,"1,188.89"
"4,476",1,3,55-59 yrs,Indonesia,No,10,Air,China Airlines Limited (CAL),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,4.00,FIT,Male,married,Spouse,,,,,,444.76,901.55,222.38,23.13,"1,675.00",0.00,"3,266.82"
"4,478",1,3,30-34 yrs,Indonesia,No,20,Air,Jetstar Asia Airways (JSA),Visiting friends/relatives,Leisure,Leisure,Multi-Destination,No,Yes,1.00,FIT,Male,married,Alone,,,,,,0.00,306.55,142.32,106.74,0.00,0.00,555.62
"4,490",1,3,20-24 yrs,Indonesia,No,10,Air,Lion Airlines (LNI),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,5.00,FIT,Male,single,Alone,,,,,,0.00,"1,456.55",106.74,71.16,0.00,0.00,"1,634.46"
"4,491",1,3,20-24 yrs,Indonesia,No,3,Air,Lion Airlines (LNI),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Female,single,Parents/ Parents-in-law,Siblings,,,,,240.17,306.55,148.25,14.83,0.00,0.00,709.80
"4,492",1,3,55-59 yrs,Indonesia,Yes,,Air,Lion Airlines (LNI),Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,5.00,FIT,Female,married,Friends,,,,,,0.00,176.55,0.00,0.00,0.00,0.00,176.55
"4,493",1,3,20-24 yrs,Indonesia,Yes,,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,5.00,FIT,Female,single,Siblings,,,,,,0.00,281.55,71.16,28.46,0.00,0.00,381.18
"4,501",1,3,30-34 yrs,Indonesia,Yes,,Air,Lion Airlines (LNI),Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,No,Yes,2.00,FIT,Female,single,Parents/ Parents-in-law,Siblings,Other relatives,,,,192.14,201.55,35.58,28.46,0.00,0.00,457.74
"4,505",1,3,35-39 yrs,Indonesia,No,15,Sea,,Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,1.00,FIT,Male,married,Spouse,Parents/ Parents-in-law,,,,,0.00,493.22,52.17,313.04,183.33,0.00,"1,041.77"
"4,506",1,3,20-24 yrs,Indonesia,No,20,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,4.00,FIT,Male,single,Siblings,,,,,,0.00,168.89,7.83,26.09,0.00,0.00,202.80
"4,507",1,3,30-34 yrs,Indonesia,No,1,Sea,,Sightseeing/ Attractions,Leisure,Leisure,Mono-SIN,No,No,1.00,FIT,Female,single,Friends,,,,,,46.96,301.55,78.26,31.30,0.00,0.00,458.07
"4,508",1,3,65 yrs & above,Indonesia,No,50,Sea,,Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,day tripper,FIT,Male,married,Alone,,,,,,0.00,210.55,7.83,37.56,200.00,0.00,455.94
"4,509",1,3,20-24 yrs,Indonesia,No,2,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,1.00,FIT,Male,single,Parents/ Parents-in-law,,,,,,156.52,251.55,46.96,78.26,0.00,0.00,533.29
"4,510",1,3,55-59 yrs,Indonesia,No,36,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,married,Spouse,Children aged 8-12 yrs,,,,,0.00,843.22,26.09,14.61,0.00,0.00,883.91
"4,511",1,3,30-34 yrs,Indonesia,No,144,Sea,,General business purpose,Business,Business,Mono-SIN,No,No,day tripper,FIT,Male,married,Alone,,,,,,0.00,426.55,9.39,9.39,0.00,0.00,445.34
"4,512",1,3,35-39 yrs,Indonesia,No,72,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,married,Spouse,Parents/ Parents-in-law,,,,,0.00,276.55,15.65,17.74,0.00,0.00,309.94
"4,513",1,3,40-44 yrs,Indonesia,No,75,Sea,,Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,day tripper,FIT,Male,married,Parents/ Parents-in-law,,,,,,0.00,306.55,78.26,15.65,125.00,0.00,525.47
"4,514",1,3,40-44 yrs,Indonesia,No,3,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,married,Friends,,,,,,0.00,462.55,39.13,32.09,0.00,0.00,533.77
"4,515",1,3,25-29 yrs,Indonesia,No,8,Sea,,Gathering informations on the Education services in Singapor,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,single,Business associates/ Colleagues,,,,,,0.00,156.55,46.96,0.00,0.00,0.00,203.51
"4,516",1,3,25-29 yrs,Indonesia,No,30,Sea,,To shop/attend shopping events in Singapore,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Female,single,Friends,,,,,,0.00,256.55,46.96,15.65,0.00,0.00,319.16
"4,517",1,3,20-24 yrs,Indonesia,No,72,Sea,,To shop/attend shopping events in Singapore,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,single,Parents/ Parents-in-law,,,,,,0.00,385.55,46.96,15.65,0.00,0.00,448.16
"4,518",1,3,50-54 yrs,Indonesia,No,18,Sea,,To shop/attend shopping events in Singapore,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,married,Alone,,,,,,0.00,237.55,23.48,18.78,0.00,0.00,279.81
"4,519",1,3,40-44 yrs,Indonesia,No,3,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,married,Spouse,Children aged 8-12 yrs,Children aged 13-19 yrs,,,,0.00,171.55,39.13,0.00,0.00,0.00,210.68
"4,520",1,3,30-34 yrs,Indonesia,No,300,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,1.00,FIT,Male,married,Friends,,,,,,309.91,606.55,156.52,78.26,0.00,0.00,"1,151.24"
"4,522",1,3,60-64 yrs,Indonesia,No,3,Air,AirAsia Berhad (AXM),Visiting friends/relatives,Leisure,Leisure,Multi-Destination,No,Yes,day tripper,FIT,Male,married,Spouse,,,,,,0.00,156.55,0.00,8.90,0.00,0.00,165.45
"4,524",1,3,35-39 yrs,Indonesia,No,4,Sea,,Visiting friends/relatives,Leisure,Leisure,Multi-Destination,No,Yes,7.00,FIT,Female,married,Spouse,,,,,,0.00,646.55,67.08,44.72,0.00,0.00,758.35
"4,526",1,3,25-29 yrs,Indonesia,Yes,,Air,Lion Airlines (LNI),Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,No,Yes,2.00,FIT,Female,single,Parents/ Parents-in-law,,,,,,142.32,356.55,59.30,29.65,0.00,0.00,587.83
"4,528",1,3,20-24 yrs,Indonesia,No,4,Air,AirAsia Berhad (AXM),Study mission,Education,Education,Multi-Destination,No,Yes,4.00,FIT,Female,single,Alone,,,,,,0.00,156.55,106.74,17.79,0.00,200.00,481.09
"4,586",1,3,45-49 yrs,Indonesia,No,2,Air,Indonesia AirAsia (AWQ),Accompanying a business visitor,Leisure,Accompanying Pax,Mono-SIN,No,No,3.00,FIT,Male,married,Spouse,,,,,,523.61,356.55,106.74,59.30,"8,000.00",0.00,"9,046.21"
"4,593",1,3,20-24 yrs,Indonesia,No,1,Air,China Airlines Limited (CAL),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Female,single,Parents/ Parents-in-law,,,,,,88.95,556.55,197.67,39.53,0.00,0.00,882.71
"4,594",1,3,30-34 yrs,Indonesia,No,3,Air,China Airlines Limited (CAL),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,2.00,FIT,Male,married,Spouse,,,,,,97.85,188.05,88.95,17.79,"1,200.00",0.00,"1,592.64"
"4,595",1,3,30-34 yrs,Indonesia,No,1,Air,AirAsia Berhad (AXM),Stopover,Leisure,Leisure,Multi-Destination,Yes,No,1.00,FIT,Female,married,Spouse,,,,,,133.43,656.55,177.91,35.58,0.00,0.00,"1,003.47"
"4,596",1,3,20-24 yrs,Indonesia,Yes,,Air,China Airlines Limited (CAL),Accompanying a business visitor,Leisure,Accompanying Pax,Mono-SIN,No,No,day tripper,FIT,Female,married,Parents/ Parents-in-law,,,,,,0.00,156.55,17.79,35.58,300.00,0.00,509.92
"4,612",1,3,40-44 yrs,Indonesia,No,3,Air,Lion Airlines (LNI),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,6.00,FIT,Female,married,Children aged 0-7 yrs,Children aged 8-12 yrs,,,,,111.19,179.05,53.37,10.38,0.00,0.00,353.99
"4,627",1,3,30-34 yrs,Indonesia,No,3,Air,Lion Airlines (LNI),Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,No,Yes,1.00,FIT,Male,married,Business associates/ Colleagues,,,,,,298.95,156.55,0.00,0.00,0.00,0.00,455.50
"4,630",1,3,20-24 yrs,Indonesia,No,4,Sea,,Visiting friends/relatives,Leisure,Leisure,Multi-Destination,No,Yes,2.00,FIT,Male,single,Alone,,,,,,0.00,156.55,0.00,31.30,0.00,0.00,187.86
"4,633",1,3,50-54 yrs,Indonesia,No,30,Sea,,"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Multi-Destination,No,Yes,day tripper,FIT,Male,married,Spouse,,,,,,0.00,156.55,7.83,15.50,0.00,0.00,179.87
"4,642",1,3,25-29 yrs,Indonesia,No,1,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,6.00,FIT,Male,married,Spouse,Children aged 0-7 yrs,,,,,44.48,336.55,79.07,19.77,0.00,0.00,479.87
"4,651",1,3,30-34 yrs,Indonesia,No,18,Air,Garuda Indonesia (GIA),General business purpose,Business,Business,Multi-Destination,No,Yes,17.00,FIT,Male,married,Alone,,,,,,0.00,356.55,106.74,41.86,0.00,0.00,505.16
"4,667",1,3,25-29 yrs,Indonesia,Yes,,Air,Lion Airlines (LNI),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,4.00,FIT,Female,single,Parents/ Parents-in-law,,,,,,0.00,506.55,106.74,0.00,0.00,0.00,613.30
"4,668",1,3,60-64 yrs,Indonesia,No,2,Air,Lion Airlines (LNI),Accompanying a Healthcare/medical visitor for In-patient treatment,Leisure,Accompanying Pax,Mono-SIN,No,No,6.00,FIT,Female,married,Spouse,,,,,,0.00,256.55,106.74,29.65,"6,000.00",0.00,"6,392.95"
"4,669",1,3,30-34 yrs,Indonesia,No,3,Air,Lion Airlines (LNI),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Female,married,Parents/ Parents-in-law,,,,,,266.86,556.55,142.32,47.44,0.00,0.00,"1,013.18"
"4,672",1,3,30-34 yrs,Indonesia,No,2,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,7.00,FIT,Male,married,Spouse,Children aged 0-7 yrs,,,,,0.00,289.89,16.94,6.78,0.00,0.00,313.61
"4,673",1,3,20-24 yrs,Indonesia,No,3,Air,Lion Airlines (LNI),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,8.00,FIT,Female,single,Alone,,,,,,0.00,456.55,35.58,13.34,0.00,0.00,505.48
"4,683",1,3,50-54 yrs,Indonesia,No,4,Air,Tiger Airways (TGW),Visiting an international student studying in Singapore,Leisure,Leisure,Mono-SIN,No,No,6.00,FIT,Male,married,Spouse,,,,,,0.00,256.55,7.41,8.90,0.00,0.00,272.86
"4,684",1,3,35-39 yrs,Indonesia,No,2,Air,Tiger Airways (TGW),Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Leisure,Accompanying Pax,Mono-SIN,No,No,2.00,FIT,Male,married,Spouse,,,,,,213.49,396.55,124.53,62.27,"3,000.00",0.00,"3,796.84"
"4,693",1,3,40-44 yrs,Indonesia,No,2,Air,China Airlines Limited (CAL),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,3.00,FIT,Male,married,Spouse,,,,,,533.72,596.55,106.74,35.58,"1,560.00",0.00,"2,832.59"
"4,694",1,3,30-34 yrs,Indonesia,No,1,Air,China Airlines Limited (CAL),Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,15.00,F&E,Male,married,Spouse,,,,,,0.00,456.55,35.58,8.90,0.00,0.00,501.03
"4,695",1,3,30-34 yrs,Indonesia,No,2,Air,China Airlines Limited (CAL),Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Leisure,Accompanying Pax,Mono-SIN,No,No,1.00,FIT,Female,married,Parents/ Parents-in-law,,,,,,186.80,256.55,71.16,53.37,"2,000.00",0.00,"2,567.89"
"4,705",1,3,65 yrs & above,Indonesia,No,10,Air,Lion Airlines (LNI),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,6.00,FIT,Male,married,Spouse,,,,,,0.00,156.55,59.30,29.65,0.00,0.00,245.51
"4,706",1,3,60-64 yrs,Indonesia,No,20,Air,Lion Airlines (LNI),"IR (e.g. MBS, RWS)",Leisure,Leisure,Mono-SIN,No,No,15.00,FIT,Female,married,Spouse,,,,,,0.00,656.55,71.16,23.72,0.00,0.00,751.44
"4,707",1,3,50-54 yrs,Indonesia,No,20,Air,Lion Airlines (LNI),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Male,married,Spouse,Children aged 13-19 yrs,,,,,0.00,314.05,266.86,133.43,0.00,0.00,714.34
"4,708",1,3,30-34 yrs,Indonesia,No,3,Air,Valuair (VLU),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,6.00,FIT,Male,single,Parents/ Parents-in-law,,,,,,0.00,221.55,0.00,0.00,0.00,0.00,221.55
"4,709",1,3,20-24 yrs,Indonesia,No,3,Air,Valuair (VLU),Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Leisure,Accompanying Pax,Mono-SIN,No,No,7.00,FIT,Female,single,Parents/ Parents-in-law,Siblings,,,,,49.81,176.55,35.58,5.08,300.00,0.00,567.03
"4,726",1,3,30-34 yrs,Indonesia,No,3,Air,AirAsia Berhad (AXM),Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,1.00,FIT,Female,married,Other relatives,,,,,,0.00,156.55,0.00,28.46,0.00,0.00,185.02
"4,728",1,3,20-24 yrs,Indonesia,No,1,Sea,,Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,14.00,FIT,Male,single,Other relatives,,,,,,0.00,206.55,8.94,4.47,0.00,0.00,219.97
"4,777",1,3,60-64 yrs,Indonesia,No,1,Air,Valuair (VLU),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Female,married,Spouse,,,,,,213.49,326.55,266.86,53.37,0.00,0.00,860.27
"4,779",1,3,45-49 yrs,Indonesia,No,10,Air,Valuair (VLU),General business purpose,Business,Business,Mono-SIN,No,No,1.00,FIT,Male,single,Alone,,,,,,694.10,176.55,142.32,71.16,0.00,0.00,"1,084.14"
"4,781",1,3,55-59 yrs,Indonesia,No,3,Air,Garuda Indonesia (GIA),Skills development/skills training/vocational training,Education,Education,Mono-SIN,No,No,5.00,FIT,Male,married,Business associates/ Colleagues,,,,,,149.47,196.55,160.11,53.37,0.00,0.00,559.51
"4,804",1,3,35-39 yrs,Indonesia,No,12,Sea,,To take or join a reginal or international cruise,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,married,Alone,,,,,,0.00,156.55,12.52,0.00,0.00,0.00,169.07
"4,805",1,3,30-34 yrs,Indonesia,No,10,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,single,Alone,,,,,,0.00,156.55,7.83,0.00,0.00,0.00,164.38
"4,806",1,3,25-29 yrs,Indonesia,No,156,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,single,Partner/ Boyfriend/ Girlfriend,,,,,,0.00,156.55,15.65,31.30,0.00,0.00,203.51
"4,807",1,3,35-39 yrs,Indonesia,No,9,Air,Valuair (VLU),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Female,married,Spouse,Children aged 8-12 yrs,Children aged 13-19 yrs,,,,0.00,156.55,0.00,8.90,0.00,0.00,165.45
"4,878",1,3,30-34 yrs,Indonesia,Yes,,Air,Singapore Airlines Limited (SIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Female,married,Spouse,,,,,,391.39,506.55,177.91,53.37,0.00,0.00,"1,129.22"
"4,879",1,3,50-54 yrs,Indonesia,No,3,Air,Singapore Airlines Limited (SIA),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,1.00,FIT,Female,married,Alone,,,,,,925.71,456.55,249.07,124.53,600.00,0.00,"2,355.86"
"4,923",1,3,65 yrs & above,Indonesia,No,9,Air,Garuda Indonesia (GIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Male,married,Alone,,,,,,711.62,156.55,177.91,177.91,0.00,0.00,"1,223.98"
"4,924",1,3,30-34 yrs,Indonesia,No,30,Sea,,General business purpose,Business,Business,Mono-SIN,No,No,2.00,FIT,Male,single,Alone,,,,,,221.88,167.55,23.48,31.30,0.00,0.00,444.21
"4,927",1,3,30-34 yrs,Indonesia,No,3,Air,Lion Airlines (LNI),General business purpose,Business,Business,Mono-SIN,No,No,day tripper,FIT,Female,married,Parents/ Parents-in-law,Other relatives,,,,,0.00,156.55,0.00,0.00,0.00,0.00,156.55
"4,928",1,3,45-49 yrs,Indonesia,No,36,Sea,,Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,day tripper,FIT,Male,married,Spouse,Children aged 13-19 yrs,,,,,0.00,176.55,14.09,6.57,220.00,0.00,417.21
"4,931",1,3,20-24 yrs,Indonesia,Yes,,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,1.00,FIT,Male,single,Parents/ Parents-in-law,Siblings,Other relatives,,,,100.17,210.55,75.13,62.61,0.00,0.00,448.46
"4,932",1,3,40-44 yrs,Indonesia,Yes,,Sea,,Sightseeing/ Attractions,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Male,married,Siblings,Other relatives,,,,,99.13,323.22,156.52,46.96,0.00,0.00,625.83
"4,933",1,3,30-34 yrs,Indonesia,No,100,Sea,,To shop/attend shopping events in Singapore,Leisure,Leisure,Mono-SIN,No,No,1.00,FIT,Male,married,Spouse,Children aged 0-7 yrs,,,,,0.00,823.22,117.39,40.54,0.00,0.00,981.15
"4,935",1,3,25-29 yrs,Indonesia,No,6,Sea,,"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Mono-SIN,No,No,1.00,FIT,Male,single,Friends,,,,,,72.00,756.55,93.91,104.35,0.00,0.00,"1,026.81"
"4,936",1,3,20-24 yrs,Indonesia,No,12,Sea,,To shop/attend shopping events in Singapore,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Female,single,Alone,,,,,,0.00,234.55,4.70,0.00,0.00,0.00,239.25
"4,937",1,3,25-29 yrs,Indonesia,No,15,Sea,,Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Female,single,Alone,,,,,,0.00,171.55,78.26,31.30,0.00,0.00,281.12
"4,938",1,3,35-39 yrs,Indonesia,Yes,,Sea,,General business purpose,Business,Business,Mono-SIN,No,No,2.00,FIT,Male,married,Alone,,,,,,219.13,446.55,156.52,31.30,0.00,0.00,853.51
"4,939",1,3,25-29 yrs,Indonesia,No,4,Sea,,Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,1.00,FIT,Female,single,Siblings,,,,,,0.00,196.55,22.36,156.52,125.00,0.00,500.43
"4,941",1,3,40-44 yrs,Indonesia,No,3,Land,,Visiting friends/relatives,Leisure,Leisure,Multi-Destination,Yes,Yes,3.00,FIT,Female,single,Other relatives,,,,,,0.00,206.55,47.44,23.72,0.00,0.00,277.71
"4,944",1,3,60-64 yrs,Indonesia,No,2,Air,Tiger Airways (TGW),Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,No,Yes,2.00,Pkg,Female,widowed,Children aged 40 yrs and above,,,,,,179.20,206.55,35.58,56.00,0.00,0.00,477.34
"4,946",1,3,20-24 yrs,Indonesia,No,6,Sea,,"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Multi-Destination,No,Yes,day tripper,FIT,Female,single,Friends,,,,,,0.00,156.55,0.00,12.52,0.00,0.00,169.07
"4,949",1,3,20-24 yrs,Indonesia,Yes,,Land,,Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,Yes,Yes,1.00,FIT,Male,single,Other relatives,,,,,,0.00,156.55,71.16,28.46,0.00,0.00,256.18
"4,950",1,3,35-39 yrs,Indonesia,Yes,,Land,,Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,Yes,No,1.00,FIT,Male,single,Friends,,,,,,213.49,206.55,106.74,35.58,0.00,0.00,562.36
"5,025",1,3,60-64 yrs,Indonesia,No,18,Air,Lion Airlines (LNI),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,3.00,FIT,Female,married,Friends,,,,,,275.12,296.55,106.74,35.58,300.00,0.00,"1,014.00"
"5,026",1,3,50-54 yrs,Indonesia,No,30,Air,Lion Airlines (LNI),General business purpose,Business,Business,Mono-SIN,No,No,4.00,FIT,Male,married,Alone,,,,,,"1,245.34",226.55,711.62,177.91,0.00,0.00,"2,361.41"
"5,034",1,3,55-59 yrs,Indonesia,Yes,,Air,Freedom Air,Gathering informations on the Education services in Singapor,Leisure,Leisure,Multi-Destination,No,Yes,4.00,Pkg,Female,married,Spouse,Others,,,,,358.40,241.55,71.17,112.00,0.00,0.00,783.12
"5,048",1,3,35-39 yrs,Indonesia,No,10,Land,,Visiting friends/relatives,Leisure,Leisure,Multi-Destination,Yes,Yes,1.00,FIT,Male,married,Alone,,,,,,0.00,156.55,53.37,35.58,0.00,0.00,245.51
"5,049",1,3,35-39 yrs,Indonesia,No,2,Air,Lion Airlines (LNI),Outpatient consultation/treatment,Healthcare,Healthcare,Multi-Destination,No,Yes,3.00,FIT,Male,married,Spouse,,,,,,177.91,156.55,47.44,11.86,500.00,0.00,893.76
"5,052",1,3,20-24 yrs,Indonesia,No,2,Air,Tiger Airways (TGW),Visiting friends/relatives,Leisure,Leisure,Multi-Destination,No,Yes,3.00,FIT,Female,single,Parents/ Parents-in-law,,,,,,118.60,256.55,79.07,39.53,0.00,0.00,493.76
"5,054",1,3,20-24 yrs,Indonesia,No,6,Land,,Visiting friends/relatives,Leisure,Leisure,Multi-Destination,Yes,Yes,3.00,FIT,Female,single,Friends,,,,,,183.24,656.55,142.32,17.79,0.00,0.00,999.91
"5,060",1,3,25-29 yrs,Indonesia,No,12,Sea,,To take or join a reginal or international cruise,Leisure,Leisure,Multi-Destination,No,Yes,day tripper,FIT,Male,single,Parents/ Parents-in-law,Other relatives,,,,,0.00,246.55,15.65,10.43,0.00,0.00,272.64
"5,061",1,3,30-34 yrs,Indonesia,No,1,Air,Lion Airlines (LNI),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,1.00,FIT,Male,married,Children aged 0-7 yrs,Children aged 8-12 yrs,,,,,312.35,177.55,35.58,14.23,0.00,0.00,539.72
"5,062",1,3,45-49 yrs,Indonesia,Yes,,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,married,Spouse,Children aged 13-19 yrs,,,,,0.00,156.55,19.57,0.00,0.00,0.00,176.12
"5,080",2,4,30-34 yrs,Indonesia,No,2,Air,Jetstar Asia Airways (JSA),"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Multi-Destination,Yes,No,day tripper,FIT,Female,married,Spouse,,,,,,0.00,138.44,17.08,17.08,0.00,0.00,172.59
"5,081",2,4,20-24 yrs,Indonesia,No,6,Sea,,Visiting friends/relatives,Leisure,Leisure,Multi-Destination,Yes,No,25.00,FIT,Female,single,Alone,,,,,,0.00,338.44,12.01,6.01,0.00,0.00,356.45
"5,082",2,4,45-49 yrs,Indonesia,No,10,Sea,,Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Leisure,Accompanying Pax,Mono-SIN,No,No,day tripper,FIT,Female,married,Spouse,,,,,,0.00,188.44,37.53,18.77,580.00,0.00,824.73
"5,084",2,4,40-44 yrs,Indonesia,No,3,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,day tripper,FIT,Male,married,Alone,,,,,,0.00,163.44,75.06,45.04,0.00,0.00,283.54
"5,085",2,4,20-24 yrs,Indonesia,No,15,Sea,,Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Female,single,Alone,,,,,,0.00,588.44,100.09,80.07,0.00,0.00,768.59
"5,086",2,4,50-54 yrs,Indonesia,No,3,Sea,,Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,21.00,FIT,Female,married,Spouse,Children aged 13-19 yrs,,,,,0.00,138.44,7.15,4.29,0.00,0.00,149.87
"5,088",2,4,35-39 yrs,Indonesia,No,12,Sea,,Corporate/business meetings,Business,Business,Mono-SIN,No,No,day tripper,FIT,Male,married,Alone,,,,,,0.00,165.44,22.52,19.52,0.00,0.00,207.47
"5,089",2,4,40-44 yrs,Indonesia,Yes,,Sea,,Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,1.00,FIT,Male,married,Spouse,,,,,,352.80,"1,138.44",75.06,0.00,0.00,0.00,"1,566.31"
"5,090",2,4,30-34 yrs,Indonesia,No,20,Sea,,Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Leisure,Accompanying Pax,Mono-SIN,No,No,day tripper,FIT,Male,married,Spouse,,,,,,0.00,"2,738.44",60.05,18.77,150.00,0.00,"2,967.25"
"5,091",2,4,25-29 yrs,Indonesia,No,60,Sea,,Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,9.00,FIT,Female,single,Alone,,,,,,0.00,138.44,23.35,16.68,0.00,0.00,178.47
