case,quarter,R.mth,age,country,1st time visitor,nbr visit past 3 yrs,mode of arrival,carrier,purpose of visit,purpose of visit_Grp,pov6a,Mono-SIN,Last Port,Next Port,length of stay,Travel Type,gender,marital status,companion_1,companion_2,companion_3,companion_4,companion_5,companion_6,accomodation ($),shop ($),fnb ($),transport ($),medical ($),others ($),Total
569,1,1,50-54 yrs,Indonesia,No,7,Air,Lion Airlines (LNI),General business purpose,Business,Business,Mono-SIN,No,No,1.00,FIT,Female,married,Business associates/ Colleagues,,,,,,149.47,186.55,88.95,0.00,0.00,0.00,424.98
583,1,1,40-44 yrs,Indonesia,No,6,Air,AirAsia Berhad (AXM),General business purpose,Business,Business,Mono-SIN,No,No,4.00,FIT,Male,married,Business associates/ Colleagues,,,,,,267.39,346.55,53.37,26.69,0.00,0.00,694.00
627,1,1,25-29 yrs,Indonesia,No,7,Air,AirAsia Berhad (AXM),Performing Arts,Leisure,Leisure,Mono-SIN,No,No,1.00,FIT,Male,single,Alone,,,,,,71.16,306.55,88.95,35.58,0.00,0.00,502.25
628,1,1,25-29 yrs,Indonesia,Yes,,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,Yes,No,2.00,FIT,Male,married,Spouse,,,,,,149.47,231.55,88.95,53.37,0.00,0.00,523.35
629,1,1,55-59 yrs,Indonesia,No,0,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Male,married,Alone,,,,,,245.51,156.55,88.95,17.79,0.00,0.00,508.80
630,1,1,50-54 yrs,Indonesia,No,3,Air,AirAsia Berhad (AXM),Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,7.00,FIT,Female,married,Alone,,,,,,0.00,456.55,0.00,25.42,0.00,0.00,481.97
638,1,1,35-39 yrs,Indonesia,No,100,Air,Singapore Airlines Limited (SIA),General business purpose,Business,Business,Mono-SIN,No,No,1.00,FIT,Male,married,Alone,,,,,,764.99,156.55,71.16,177.91,0.00,0.00,"1,170.61"
682,1,1,60-64 yrs,Indonesia,No,20,Air,Garuda Indonesia (GIA),"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Mono-SIN,No,No,6.00,FIT,Male,single,Alone,,,,,,0.00,231.55,0.00,0.00,0.00,0.00,231.55
688,1,1,40-44 yrs,Indonesia,No,3,Air,SilkAir (Singapore) Pte Limited (SLK),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,1.00,FIT,Female,married,Spouse,,,,,,320.23,156.55,266.86,177.91,0.00,0.00,921.54
689,1,1,55-59 yrs,Indonesia,No,17,Air,SilkAir (Singapore) Pte Limited (SLK),Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,5.00,FIT,Male,married,Spouse,,,,,,0.00,"1,141.55",222.38,62.27,0.00,0.00,"1,426.20"
703,1,1,25-29 yrs,Indonesia,No,35,Air,Indonesia AirAsia (AWQ),Visiting friends/relatives,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Female,single,Alone,,,,,,0.00,306.55,355.81,62.27,0.00,0.00,724.63
704,1,1,35-39 yrs,Indonesia,No,1,Air,Indonesia AirAsia (AWQ),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Male,married,Spouse,Children aged 0-7 yrs,Parents/ Parents-in-law,Siblings,Other relatives,,0.00,381.55,103.78,48.03,0.00,0.00,533.37
