id,qtr,mth,age,first_time_visit,visits_p3y,arrival_method,carrier,pov,pov_grp,multi_dest,last_port,next_port,stay_length,travel_type,gender,married,accom_exp,shopping_exp,fnb_exp,transport_exp,medical_exp,other_exp,total_exp,accompanying_pax,avg_exp,companions,companions_total,comp_alone,comp_colleagues,comp_partner,comp_friends,comp_family,comp_children
785,1,Jan,35-39,No,10,Air,A_Otr,Gen_B,Bus,No,No,No,1,FIT,Male,Yes,477.85,196.55,71.16,88.95,0.0,0.0,834.52,False,834.52001953125,['Alone'],Alone,True,False,False,False,False,False
786,1,Jan,55-59,No,5,Air,GIA,Gen_B,Bus,No,No,No,0,FIT,Male,No,0.0,156.55,71.16,35.58,0.0,0.0,263.3,False,263.29998779296875,['Alone'],Alone,True,False,False,False,False,False
787,1,Jan,>65,No,4,Air,A_Otr,Hea_T,Hea,No,No,No,3,FIT,Male,Yes,240.17,196.55,106.74,35.58,1500.0,0.0,2079.05,False,693.0166829427084,['Siblings'],Siblings,False,False,False,False,True,False
809,1,Jan,30-34,No,20,Air,AXM,Acco_Hea,Lei,No,No,No,2,FIT,Male,Yes,158.34,236.55,88.95,66.71,12000.0,0.0,12550.56,True,6275.27978515625,['Parents/ Parents-in-law'],Parents/ Parents-in-law,False,False,False,False,True,False
818,1,Jan,35-39,No,4,Sea,Sea,Stp,Lei,Yes,No,Yes,1,Pkg,Male,Yes,89.6,156.55,18.78,28.0,0.0,0.0,292.94,False,292.94000244140625,['Friends'],Friends,False,False,False,True,False,False
850,1,Jan,30-34,Yes,0,Air,A_Otr,Hol,Lei,No,No,No,2,FIT,Male,Yes,195.7,256.55,106.74,71.16,0.0,0.0,630.15,False,315.07501220703125,['Spouse'],Spouse,False,False,True,False,False,False
858,1,Jan,45-49,No,2,Air,SIA,Hea_T,Hea,No,No,No,4,FIT,Female,Yes,0.0,321.55,213.49,8.9,1500.0,0.0,2043.93,False,510.9825134277344,['Spouse'],Spouse,False,False,True,False,False,False
859,1,Jan,50-54,No,1,Air,SIA,Hol,Lei,No,No,No,4,FIT,Female,Yes,444.76,556.55,124.53,35.58,0.0,0.0,1161.43,False,290.3575134277344,['Spouse'],Spouse,False,False,True,False,False,False
873,1,Jan,50-54,No,2,Air,AXM,Hea_T,Hea,No,No,No,1,FIT,Female,Yes,329.12,306.55,88.95,71.16,560.0,0.0,1355.79,False,1355.7900390625,['Spouse'],Spouse,False,False,True,False,False,False
876,1,Jan,30-34,Yes,0,Air,AXM,Hol,Lei,No,No,No,3,FIT,Female,Yes,177.91,406.55,88.95,14.83,0.0,0.0,688.24,False,229.413330078125,['Spouse'],Spouse,False,False,True,False,False,False
877,1,Jan,45-49,No,6,Air,AXM,Hea_T,Hea,No,No,No,4,FIT,Male,Yes,177.91,656.55,44.48,8.9,600.0,0.0,1487.83,False,371.9574890136719,['Spouse'],Spouse,False,False,True,False,False,False
909,1,Jan,55-59,No,18,Air,GIA,Hea_T,Hea,No,No,No,1,FIT,Male,Yes,426.97,206.55,177.91,177.91,5200.0,0.0,6189.34,False,6189.33984375,['Alone'],Alone,True,False,False,False,False,False
910,1,Jan,30-34,No,8,Air,GIA,Gen_B,Bus,No,No,No,3,FIT,Male,Yes,759.06,256.55,118.6,118.6,0.0,0.0,1252.82,False,417.6066487630208,['Alone'],Alone,True,False,False,False,False,False
911,1,Jan,45-49,No,20,Air,GIA,Gen_B,Bus,No,No,No,2,FIT,Male,Yes,0.0,156.55,177.91,0.0,0.0,0.0,334.46,False,167.22999572753906,['Spouse'],Spouse,False,False,True,False,False,False
913,1,Jan,30-34,No,10,Air,GIA,Hol,Lei,No,No,No,3,FIT,Female,Yes,0.0,1456.55,142.32,23.72,0.0,0.0,1622.6,False,540.8666585286459,"['Parents/ Parents-in-law', 'Other relatives']","Parents/ Parents-in-law, Other relatives",False,False,False,False,True,False
